Ano;Mês;Dia;Cod;QTDE;PREC;;;
2015;1;1;15800;114.000;R$ 5,07;;12100;2444,18
2015;1;1;15600;9.000;R$ 9,79;;12200;20242,88
2015;1;1;12800;32.483;R$ 9,71;;12300;14682,14
2015;1;1;15600;53.000;R$ 9,90;;12400;12927,13
2015;1;1;12800;13.055;R$ 10,39;;12500;18846,72
2015;1;1;15300;46.000;R$ 7,42;;12600;27635,51
2015;1;1;15400;123.000;R$ 7,74;;12700;3315,04
2015;1;1;15700;140.000;R$ 7,97;;12800;7423,19
2015;1;1;12400;19.711;R$ 16,31;;15100;5626,29
2015;1;1;15400;65.000;R$ 7,99;;15200;52992,39
2015;1;1;12100;2.093;R$ 3,19;;15300;5630,34
2015;1;1;15300;65.000;R$ 6,93;;15400;6100,76
2015;1;1;12500;21.812;R$ 25,89;;15500;11082,02
2015;1;1;12700;30.200;R$ 4,56;;15600;7694,49
2015;1;1;12400;12.125;R$ 16,31;;15700;6591,07
2015;1;1;12200;28.008;R$ 26,92;;15800;3700,04
2015;1;1;12300;14.156;R$ 20,91;;;
2015;1;1;12500;1.798;R$ 25,27;;;
2015;1;1;15100;133.000;R$ 7,55;;;
2015;1;1;12200;16.620;R$ 25,83;;;
2015;1;1;12600;4.906;R$ 37,76;;;
2015;1;1;15300;100.000;R$ 7,33;;;
2015;1;1;15400;16.000;R$ 7,99;;;
2015;1;1;15100;1.000;R$ 7,55;;;
2015;1;1;15700;32.000;R$ 8,10;;;
2015;1;1;15500;87.000;R$ 13,97;;;
2015;1;1;15300;102.000;R$ 7,03;;;
2015;1;1;12500;8.845;R$ 24,01;;;
2015;1;1;12500;5.635;R$ 24,70;;;
2015;1;1;12400;1.800;R$ 16,31;;;
2015;1;1;12300;26.595;R$ 19,71;;;
2015;1;1;15400;75.000;R$ 7,99;;;
2015;1;1;12600;31.609;R$ 36,02;;;
2015;1;1;12300;18.420;R$ 19,71;;;
2015;1;1;12600;13.392;R$ 36,40;;;
2015;1;1;15800;74.000;R$ 5,07;;;
2015;1;1;12500;2.723;R$ 25,27;;;
2015;1;1;12700;7.213;R$ 4,56;;;
2015;1;1;12400;12.231;R$ 16,31;;;
2015;1;1;15200;36.000;R$ 66,94;;;
2015;1;1;12800;16.446;R$ 9,71;;;
2015;1;1;15400;48.000;R$ 7,99;;;
2015;1;1;12500;24.851;R$ 24,08;;;
2015;1;1;15300;100.000;R$ 7,33;;;
2015;1;1;15200;101.000;R$ 66,94;;;
2015;1;1;12800;18.596;R$ 9,71;;;
2015;1;2;12200;32.702;R$ 26,92;;;
2015;1;2;12800;0.360;R$ 9,71;;;
2015;1;2;15200;47.000;R$ 71,46;;;
2015;1;2;12500;10.445;R$ 25,27;;;
2015;1;2;15100;10.000;R$ 7,55;;;
2015;1;2;15100;77.000;R$ 7,55;;;
2015;1;2;15300;17.000;R$ 7,33;;;
2015;1;2;15100;66.000;R$ 7,61;;;
2015;1;2;12700;13.249;R$ 4,69;;;
2015;1;2;12600;23.945;R$ 37,76;;;
2015;1;2;15600;138.000;R$ 9,44;;;
2015;1;2;12700;22.381;R$ 4,33;;;
2015;1;2;15500;99.000;R$ 14,93;;;
2015;1;2;15200;132.000;R$ 66,94;;;
2015;1;2;15200;25.000;R$ 62,36;;;
2015;1;2;15500;60.000;R$ 15,79;;;
2015;1;2;12100;4.077;R$ 3,19;;;
2015;1;2;12200;11.911;R$ 26,92;;;
2015;1;2;15600;121.000;R$ 9,79;;;
2015;1;2;15700;27.000;R$ 7,97;;;
2015;1;2;15600;127.000;R$ 9,79;;;
2015;1;2;12100;13.805;R$ 3,17;;;
2015;1;2;12500;22.394;R$ 26,25;;;
2015;1;2;15300;107.000;R$ 7,04;;;
2015;1;2;12100;13.216;R$ 3,08;;;
2015;1;2;15600;6.000;R$ 9,85;;;
2015;1;2;12200;20.046;R$ 26,92;;;
2015;1;2;12700;4.786;R$ 4,56;;;
2015;1;2;15600;99.000;R$ 9,79;;;
2015;1;2;12300;30.860;R$ 19,71;;;
2015;1;2;12200;17.705;R$ 26,92;;;
2015;1;2;15800;74.000;R$ 4,87;;;
2015;1;2;12100;8.002;R$ 3,39;;;
2015;1;2;15200;119.000;R$ 66,94;;;
2015;1;2;15500;27.000;R$ 14,93;;;
2015;1;2;15400;18.000;R$ 7,99;;;
2015;1;2;15600;111.000;R$ 10,16;;;
2015;1;2;15800;81.000;R$ 5,07;;;
2015;1;2;12400;20.756;R$ 16,31;;;
